title,rating,director
The Shawshank Redemption,7,Frank Darabont
Twin Peaks: Fire Walk with Me,7,David Lynch
Zombieland,6,Ruben Fleischer
That Evening Sun,7,Scott Teems
Paddington,7,Paul King
Casino,8,Martin Scorsese
Boyhood,9,Richard Linklater
Fargo,10,Joel Coen
Carlito's Way,7,Brian De Palma
Crash,7,David Cronenberg
Donnie Brasco,7,Mike Newell
Rounders,6,John Dahl
American History X,7,Tony Kaye
Bronson,6,Nicolas Winding Refn
Jackie Brown,7,Quentin Tarantino
"Lock, Stock and Two Smoking Barrels",6,Guy Ritchie
Trainspotting,7,Danny Boyle
Kick-Ass,6,Matthew Vaughn
Being John Malkovich,9,Spike Jonze
In the Loop,8,Armando Iannucci
Rushmore,8,Wes Anderson
Four Lions,7,Chris Morris
Submarine,7,Richard Ayoade
Winter's Bone,8,Debra Granik
Inception,7,Christopher Nolan
Fight Club,7,David Fincher
The Big Lebowski,8,Joel Coen
High Fidelity,7,Stephen Frears
Under the Skin,8,Jonathan Glazer
The Lego Movie,7,Phil Lord
The Lego Movie,7,Christopher Miller
Attack the Block,7,Joe Cornish
Cosmopolis,6,David Cronenberg
Mulholland Drive,9,David Lynch
Only Lovers Left Alive,7,Jim Jarmusch
"South Park: Bigger, Longer & Uncut",7,Trey Parker
Ghost World,7,Terry Zwigoff
The Girl with the Dragon Tattoo,6,David Fincher
While We're Young,7,Noah Baumbach
The Double,6,Richard Ayoade
127 Hours,6,Danny Boyle
Frank,8,Lenny Abrahamson
Her,8,Spike Jonze
The Punk Singer,7,Sini Anderson
Killing Them Softly,6,Andrew Dominik
"O Brother, Where Art Thou?",8,Joel Coen
No,7,Pablo Larraín
Children of Men,8,Alfonso Cuarón
Sexy Beast,7,Jonathan Glazer
Inside Llewyn Davis,8,Joel Coen
Inside Llewyn Davis,8,Ethan Coen
Moonrise Kingdom,8,Wes Anderson
Un Chien Andalou,7,Luis Buñuel
Good Vibrations,8,Lisa Barros D'Sa
Good Vibrations,8,Glenn Leyburn
Y Tu Mamá También,7,Alfonso Cuarón
Amores Perros,8,Alejandro González Iñárritu
The Man Who Wasn't There,8,Joel Coen
Starred Up,8,David Mackenzie
24 Hour Party People,7,Michael Winterbottom
Whiplash,8,Damien Chazelle
"Two Days, One Night",9,Luc Dardenne
"Two Days, One Night",9,Jean-Pierre Dardenne
The Royal Tenenbaums,8,Wes Anderson
White God,7,Kornél Mundruczó
Battle Royale,6,Kinji Fukasaku
Mr. Turner,7,Mike Leigh
Kill Bill: Vol. 1,6,Quentin Tarantino
Mistaken for Strangers,7,Tom Berninger
Punch-Drunk Love,8,Paul Thomas Anderson
Nightcrawler,7,Dan Gilroy
Talk to Her,8,Pedro Almodóvar
20.000 Days on Earth,7,Iain Forsyth
20.000 Days on Earth,7,Jane Pollard
Electricity,6,Bryn Higgins
It Follows,8,David Robert Mitchell
28 Days Later,6,Danny Boyle
Ida,8,Paweł Pawlikowski
'71,7,Yann Demange
Obvious Child,6,Gillian Robespierre
Lost in Translation,7,Sofia Coppola
Nas: Time Is Illmatic,7,One9
The Life Aquatic with Steve Zissou,7,Wes Anderson
Team America: World Police,7,Trey Parker
Before Sunset,10,Richard Linklater
"Pulp: a Film About Life, Death & Supermarkets",7,Florian Habicht
Eternal Sunshine of the Spotless Mind,8,Michel Gondry
Collateral,7,Michael Mann
Juno,6,Jason Reitman
Scott Pilgrim vs. the World,7,Edgar Wright
School of Rock,6,Richard Linklater
Inglourious Basterds,7,Quentin Tarantino
The Young and the Damned,8,Luis Buñuel
Pan's Labyrinth,8,Guillermo del Toro
Volver,6,Pedro Almodóvar
Alan Partridge: Alpha Papa,7,Declan Lowney
Rear Window,9,Alfred Hitchcock
Some Like It Hot,7,Billy Wilder
Vertigo,8,Alfred Hitchcock
Blow-Up,7,Michelangelo Antonioni
The Godfather,10,Francis Ford Coppola
if....,8,Lindsay Anderson
"Aguirre, the Wrath of God",9,Werner Herzog
Love and Death,7,Woody Allen
Eraserhead,9,David Lynch
Badlands,9,Terrence Malick
Serpico,7,Sidney Lumet
